,name,매출액(억원),영업이익(억원),당기순이익(억원),영업이익률(%),순이익률(%),ROE(지배주주%),부채비율(%),당좌비율(%),유보율(%),EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%)
138,sd biosensor(에스디바이오센서),29928,13402,13195,44.78,44.09,47.56,36.39(21),200.44(21),"4,298.27(21)",12761,2.3,32858,0.89,1384,2.26(21),12.03(21)
139,에스디 바이오(에스디바이오센서),29928,13402,13195,44.78,44.09,47.56,36.39(21),200.44(21),"4,298.27(21)",12761,2.3,32858,0.89,1384,2.26(21),12.03(21)
140,e마트(이마트),294018,1853,9020,0.63,3.07,8.35,151.95(21),31.70(21),"6,352.86(21)",31941,3.3,412693,0.26,1929,1.32(21),3.54(21)
141,e-mart(이마트),294018,1853,9020,0.63,3.07,8.35,151.95(21),31.70(21),"6,352.86(21)",31941,3.3,412693,0.26,1929,1.32(21),3.54(21)
142,한가공(한국가스공사),495809,18585,10852,3.75,2.19,11.42,378.87(21),68.11(21),"1,777.35(21)",11566,2.82,114546,0.28,1376,6.98(21),24.63(21)
143,한국가스(한국가스공사),495809,18585,10852,3.75,2.19,11.42,378.87(21),68.11(21),"1,777.35(21)",11566,2.82,114546,0.28,1376,6.98(21),24.63(21)
144,현대 해상(현대해상),"188,422(21)","6,393(21)",5730,3.39(21),2.30(21),12.01,954.67(21),^,"11,255.03(21)",6409,5.02,57872,0.56,1755,6.45(21),26.83(21)
145,현대해상 다이렉트(현대해상),"188,422(21)","6,393(21)",5730,3.39(21),2.30(21),12.01,954.67(21),^,"11,255.03(21)",6409,5.02,57872,0.56,1755,6.45(21),26.83(21)
146,쌍용씨앤이(쌍용C&E),19177,1611,834,8.4,4.35,5.15,115.33(21),69.12(21),"3,324.22(21)",166,34.85,3156,1.83,440,5.71(21),118.85(21)
147,쌍용 c앤e(쌍용C&E),19177,1611,834,8.4,4.35,5.15,115.33(21),69.12(21),"3,324.22(21)",166,34.85,3156,1.83,440,5.71(21),118.85(21)
148,cs wind(씨에스윈드),14138,763,200,5.39,1.41,2.72,87.36(21),126.08(21),"4,102.94(21)",581,114.81,21874,3.05,551,0.91(21),38.22(21)
149,시에스 윈드(씨에스윈드),14138,763,200,5.39,1.41,2.72,87.36(21),126.08(21),"4,102.94(21)",581,114.81,21874,3.05,551,0.91(21),38.22(21)
