name,매출액(억원),영업이익(억원),당기순이익(억원),영업이익률(%),순이익률(%),ROE(%),부채비율(%),당좌비율(%),유보율(%),EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%)
HANWHA(한화),625880,33140,26290,5.29,4.2,43.54,861.49(21),70.03(21),"1,045.63(21)",16367,1.72,26318,1.07,805,2.39(21),7.75(21)
db하이텍(DB하이텍),17183,8118,6312,47.24,36.73,44.73,40.13(21),137.31(21),431.38(21),14181,3.26,39487,1.17,483,0.62(21),6.17(21)
디비하이텍(DB하이텍),17183,8118,6312,47.24,36.73,44.73,40.13(21),137.31(21),431.38(21),14181,3.26,39487,1.17,483,0.62(21),6.17(21)
대한 전선(대한전선),"19,977(21)",395(21),289(21),1.98(21),1.45(21),7.78(21),266.43(21),73.65(21),54.63(21),30(21),54.96(21),400(21),4.08(21),-,-,-
taihan(대한전선),"19,977(21)",395(21),289(21),1.98(21),1.45(21),7.78(21),266.43(21),73.65(21),54.63(21),30(21),54.96(21),400(21),4.08(21),-,-,-
hl만도(HL만도),74590,2806,2706,3.76,3.63,12.51,179.04(21),112.27(21),"3,233.97(21)",5482,8.27,46080,0.98,845,1.26(21),22.45(21)
에이치엘만도(HL만도),74590,2806,2706,3.76,3.63,12.51,179.04(21),112.27(21),"3,233.97(21)",5482,8.27,46080,0.98,845,1.26(21),22.45(21)
ns(농심),31056,1000,1190,3.22,3.83,5.31,31.77(21),126.21(21),"7,246.61(21)",19557,16.98,397440,0.84,4000,1.26(21),23.17(21)
NS(농심),31056,1000,1190,3.22,3.83,5.31,31.77(21),126.21(21),"7,246.61(21)",19557,16.98,397440,0.84,4000,1.26(21),23.17(21)
gs건설(GS건설),114451,5674,5542,4.96,4.84,10.13,211.61(21),85.06(21),"1,018.20(21)",5740,4.09,59741,0.39,1279,3.28(21),27.02(21)
지에스건설(GS건설),114451,5674,5542,4.96,4.84,10.13,211.61(21),85.06(21),"1,018.20(21)",5740,4.09,59741,0.39,1279,3.28(21),27.02(21)
한미 사이언스(한미사이언스),"9,502(21)",589(21),429(21),6.19(21),4.52(21),6.37(21),37.61(21),50.23(21),"2,104.43(21)",614(21),86.68(21),"10,062(21)",5.29(21),192(21),0.36(21),30.72(21)
hanmi사이언스(한미사이언스),"9,502(21)",589(21),429(21),6.19(21),4.52(21),6.37(21),37.61(21),50.23(21),"2,104.43(21)",614(21),86.68(21),"10,062(21)",5.29(21),192(21),0.36(21),30.72(21)
dongsuh(동서),"5,353(21)",384(21),"1,151(21)",7.17(21),21.51(21),8.05(21),9.25(21),"1,230.07(21)","2,678.79(21)","1,137(21)",27.27(21),"14,531(21)",2.13(21),700(21),2.26(21),60.93(21)
DONGSUH(동서),"5,353(21)",384(21),"1,151(21)",7.17(21),21.51(21),8.05(21),9.25(21),"1,230.07(21)","2,678.79(21)","1,137(21)",27.27(21),"14,531(21)",2.13(21),700(21),2.26(21),60.93(21)
kcc(KCC),67876,5085,796,7.49,1.17,1.32,139.56(21),86.62(21),"10,879.41(21)",7613,31.2,705634,0.34,6350,2.22(21),-117.10(21)
케이씨씨(KCC),67876,5085,796,7.49,1.17,1.32,139.56(21),86.62(21),"10,879.41(21)",7613,31.2,705634,0.34,6350,2.22(21),-117.10(21)
hitejinro(하이트진로),24982,1948,1114,7.8,4.46,10.02,232.16(21),60.72(21),220.09(21),1576,16.59,16477,1.59,822,2.65(21),77.90(21)
HITEJINRO(하이트진로),24982,1948,1114,7.8,4.46,10.02,232.16(21),60.72(21),220.09(21),1576,16.59,16477,1.59,822,2.65(21),77.90(21)
영원 무역(영원무역),37601,7840,6491,20.85,17.26,23.63,45.74(21),266.69(21),"9,223.27(21)",13288,3.25,63024,0.69,1223,2.29(21),14.72(21)
youngone(영원무역),37601,7840,6491,20.85,17.26,23.63,45.74(21),266.69(21),"9,223.27(21)",13288,3.25,63024,0.69,1223,2.29(21),14.72(21)
대우 건설(대우건설),100374,7092,5229,7.07,5.21,14.85,225.15(21),94.20(21),73.35(21),1251,3.77,9223,0.51,-,-,-
daewoo건설(대우건설),100374,7092,5229,7.07,5.21,14.85,225.15(21),94.20(21),73.35(21),1251,3.77,9223,0.51,-,-,-
ottogi(오뚜기),31406,1836,1365,5.85,4.35,8.54,69.38(21),63.44(21),"9,216.01(21)",35297,13.4,427405,1.11,8400,1.75(21),21.02(21)
OTTOGI(오뚜기),31406,1836,1365,5.85,4.35,8.54,69.38(21),63.44(21),"9,216.01(21)",35297,13.4,427405,1.11,8400,1.75(21),21.02(21)
대웅 제약(대웅제약),12380,1106,686,8.93,5.54,10.81,101.48(21),75.54(21),"2,053.07(21)",5627,26.92,57113,2.65,600,0.41(21),26.93(21)
daewoong(대웅제약),12380,1106,686,8.93,5.54,10.81,101.48(21),75.54(21),"2,053.07(21)",5627,26.92,57113,2.65,600,0.41(21),26.93(21)
효성첨단 소재(효성첨단소재),39172,3209,1700,8.19,4.34,23.59,303.09(21),45.34(21),"2,372.60(21)",35318,10.87,165056,2.33,9375,1.68(21),17.82(21)
효성 첨단소재(효성첨단소재),39172,3209,1700,8.19,4.34,23.59,303.09(21),45.34(21),"2,372.60(21)",35318,10.87,165056,2.33,9375,1.68(21),17.82(21)
효성tnc(효성티앤씨),91256,1008,110,1.1,0.12,-0.53,156.66(21),69.32(21),"6,354.40(21)",-1681,-232.59,311300,1.26,7750,9.60(21),28.01(21)
효성TNC(효성티앤씨),91256,1008,110,1.1,0.12,-0.53,156.66(21),69.32(21),"6,354.40(21)",-1681,-232.59,311300,1.26,7750,9.60(21),28.01(21)
lig넥스원(LIG넥스원),22189,1924,1622,8.67,7.31,19.42,237.59(21),58.36(21),532.75(21),7373,11,41617,1.95,1240,1.75(21),24.89(21)
엘아이지넥스원(LIG넥스원),22189,1924,1622,8.67,7.31,19.42,237.59(21),58.36(21),532.75(21),7373,11,41617,1.95,1240,1.75(21),24.89(21)
doosan(두산),156687,10770,485,6.87,0.31,-6.11,206.10(21),61.22(21),"2,186.51(21)",-6296,-14.17,126383,0.71,2250,1.69(21),16.89(21)
DOOSAN(두산),156687,10770,485,6.87,0.31,-6.11,206.10(21),61.22(21),"2,186.51(21)",-6296,-14.17,126383,0.71,2250,1.69(21),16.89(21)
롯데 정밀화학(롯데정밀화학),25235,4172,1382,16.53,5.48,6.65,23.87(21),178.06(21),"1,627.58(21)",5805,9.7,90389,0.62,2025,3.07(21),10.01(21)
lotte정밀화학(롯데정밀화학),25235,4172,1382,16.53,5.48,6.65,23.87(21),178.06(21),"1,627.58(21)",5805,9.7,90389,0.62,2025,3.07(21),10.01(21)
hyosung(효성),36755,1170,1030,3.18,2.8,3.18,75.72(21),64.30(21),"7,071.70(21)",3939,17.77,130566,0.54,6250,6.86(21),29.53(21)
